"Date","Price","Open","High","Low","Vol.","Change %"
"01/30/2018","63.690","63.695","63.810","63.588","","0.14%"
"01/31/2018","63.550","63.675","63.748","63.550","","-0.22%"
"02/01/2018","63.980","63.645","64.060","63.555","","0.68%"
"02/02/2018","64.130","64.120","64.195","63.735","","0.23%"
"02/05/2018","64.140","64.235","64.235","64.005","","0.02%"
"02/06/2018","64.230","64.355","64.400","64.099","","0.14%"
"02/07/2018","64.280","64.220","64.306","64.040","","0.08%"
"02/08/2018","64.300","64.385","64.385","64.145","","0.03%"
"02/09/2018","64.375","64.425","64.438","64.285","","0.12%"
"02/12/2018","64.280","64.283","64.345","64.235","","-0.15%"
"02/13/2018","64.265","64.275","64.275","64.265","","-0.02%"
"02/14/2018","64.100","64.155","64.190","64.045","","-0.26%"
"02/15/2018","63.900","63.955","63.975","63.870","","-0.31%"
"02/16/2018","64.215","63.875","64.230","63.815","","0.49%"
"02/19/2018","64.250","64.250","64.250","64.250","","0.05%"
"02/20/2018","64.860","64.505","64.861","64.415","","0.95%"
"02/21/2018","64.805","64.905","64.945","64.713","","-0.08%"
"02/22/2018","64.975","65.065","65.105","64.955","","0.26%"
"02/23/2018","64.710","64.955","64.955","64.690","","-0.41%"
"02/26/2018","64.770","64.655","64.835","64.625","","0.09%"
"02/27/2018","64.920","64.815","64.964","64.765","","0.23%"
"02/28/2018","65.210","65.145","65.314","65.043","","0.45%"
"03/01/2018","65.230","65.205","65.248","65.104","","0.03%"
"03/02/2018","65.220","65.205","65.265","65.195","","-0.02%"
"03/05/2018","65.025","65.055","65.160","64.930","","-0.30%"
"03/06/2018","64.905","64.945","65.120","64.905","","-0.18%"
"03/07/2018","64.880","64.900","65.005","64.855","","-0.04%"
