"Date","Price","Open","High","Low","Vol.","Change %"
"26-11-2017","96.95","96.00","97.00","96.00","0.07K","0.41%"
"19-11-2017","96.55","96.55","96.55","96.55","0.12K","0.00%"
"12-11-2017","96.55","96.55","96.55","96.55","0.01K","-1.13%"
"05-11-2017","97.65","97.65","97.65","97.65","0.01K","-1.36%"
"29-10-2017","99.00","98.75","99.50","98.75","0.19K","1.59%"
"22-10-2017","97.45","96.50","96.50","96.50","0.00K","0.31%"
"15-10-2017","97.15","97.15","97.15","97.15","0.02K","1.46%"
"08-10-2017","95.75","95.75","95.75","95.75","0.11K","-1.64%"
"01-10-2017","97.35","97.00","98.40","97.00","0.25K","0.10%"
"24-09-2017","97.25","97.25","97.25","97.25","0.16K","0.05%"
"17-09-2017","97.20","97.20","97.20","97.20","0.07K","-2.02%"
"10-09-2017","99.20","101.00","101.00","101.00","0.06K","0.76%"
"03-09-2017","98.45","96.50","98.00","96.50","0.09K","2.77%"
"27-08-2017","95.80","95.80","95.80","95.80","0.17K","-2.84%"
"20-08-2017","98.60","98.60","98.60","98.60","0.03K","0.31%"
"13-08-2017","98.30","98.30","98.30","98.30","0.01K","2.61%"
"06-08-2017","95.80","95.80","95.80","95.80","0.03K","0.47%"
"30-07-2017","95.35","91.75","94.00","91.75","0.16K","9.35%"
"23-07-2017","87.20","87.20","87.20","87.20","0.01K","0.87%"
"16-07-2017","86.45","86.45","86.45","86.45","0.19K","2.98%"
"09-07-2017","83.95","83.95","83.95","83.95","0.35K","1.70%"
"02-07-2017","82.55","82.55","82.55","82.55","0.43K","1.91%"
"25-06-2017","81.00","81.00","81.00","81.00","0.10K","0.43%"
"18-06-2017","80.65","80.65","80.65","80.65","0.10K","-0.25%"
"11-06-2017","80.85","80.85","80.85","80.85","0.04K","1.76%"
"04-06-2017","79.45","78.00","78.00","78.00","0.21K","4.54%"
"28-05-2017","76.00","74.00","74.00","74.00","0.13K","2.08%"
"21-05-2017","74.45","74.65","74.65","74.65","0.06K","0.27%"
"14-05-2017","74.25","74.25","74.25","74.25","0.14K","0.88%"
"07-05-2017","73.60","73.60","73.60","73.60","0.09K","-5.64%"
"30-04-2017","78.00","78.00","78.00","78.00","0.37K","-6.64%"
"23-04-2017","83.55","83.55","83.55","83.55","0.04K","-0.77%"
"16-04-2017","84.20","84.20","84.20","84.20","0.06K","0.06%"
"09-04-2017","84.15","84.15","84.15","84.15","0.36K","-4.59%"
"02-04-2017","88.20","90.40","90.40","90.40","1.07K","9.23%"
"26-03-2017","80.75","80.75","80.75","80.75","0.17K","-0.25%"
"19-03-2017","80.95","80.95","80.95","80.95","0.03K","-0.43%"
"12-03-2017","81.30","81.75","81.75","81.25","0.20K","3.24%"
"05-03-2017","78.75","80.35","80.35","80.35","0.60K","-2.72%"
"26-02-2017","80.95","83.50","83.50","82.25","0.41K","1.19%"
"19-02-2017","80.00","80.00","80.00","80.00","0.03K","0.13%"
"12-02-2017","79.90","79.90","79.90","79.90","0.02K","-0.19%"
"05-02-2017","80.05","80.05","80.05","80.05","0.30K","-3.55%"
"29-01-2017","83.00","83.00","83.00","83.00","0.21K","-0.90%"
"22-01-2017","83.75","83.75","83.75","83.75","0.01K","-0.06%"
"15-01-2017","83.80","83.80","83.80","83.80","0.18K","0.36%"
"08-01-2017","83.50","83.50","83.50","83.50","0.42K","0.00%"
"01-01-2017","83.50","83.50","83.50","83.50","0.15K","-5.54%"
"25-12-2016","88.40","88.40","88.40","88.40","0.01K","2.08%"
"18-12-2016","86.60","86.60","86.60","86.60","0.06K","0.12%"
